classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Support Vector Machines,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.39394387001477116,0.6228615485339533,0.39394387001477116
Logistic Regression,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.45110782865583454,0.6391710099339043,0.45110782865583454
Naive Bayes,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5790251107828654,0.6597893682947078,0.5790251107828654
Support Vector Machines,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4022156573116691,0.6362043373749996,0.4022156573116691
Logistic Regression,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4620384047267356,0.6432682345736722,0.4620384047267356
Naive Bayes,s20,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8911373707533234,0.8952649902757182,0.8911373707533234
Support Vector Machines,s20,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8890694239290988,0.8925023330720686,0.8890694239290988
Logistic Regression,s20,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9051698670605614,0.9102887002098188,0.9051698670605614
Naive Bayes,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8930576070901033,0.8971933501819251,0.8930576070901033
Support Vector Machines,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8889217134416544,0.8920180462352956,0.8889217134416544
Logistic Regression,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9047267355982275,0.9102983090264128,0.9047267355982275
Naive Bayes,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8717872968980798,0.8792506874254344,0.8717872968980798
Support Vector Machines,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8797636632200886,0.8842490464394501,0.8797636632200886
Logistic Regression,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8887740029542097,0.8956301741972428,0.8887740029542097
Naive Bayes,s23,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8735598227474151,0.8814406304391621,0.8735598227474151
Support Vector Machines,s23,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8791728212703103,0.8851326913432128,0.8791728212703103
