classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Logistic Regression,s26,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8476658476658476,0.8524839392157718,0.8476658476658476
Naive Bayes,s27,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7643734643734643,0.7794239070359881,0.7643734643734643
Support Vector Machines,s27,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8597051597051598,0.8641292114890252,0.8597051597051598
Logistic Regression,s27,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8488943488943489,0.8546609147552069,0.8488943488943489
Naive Bayes,s28,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7746928746928747,0.7708973266865137,0.7746928746928747
Support Vector Machines,s28,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8675675675675676,0.8775309095761319,0.8675675675675676
Logistic Regression,s28,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8444717444717446,0.8523164799199744,0.8444717444717446
Naive Bayes,s29,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7764127764127763,0.7717134936390624,0.7764127764127763
Support Vector Machines,s29,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8678132678132677,0.8747586608369934,0.8678132678132677
Logistic Regression,s29,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8422604422604423,0.8503377689742212,0.8422604422604423
Naive Bayes,s30,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7488943488943489,0.7434345563741224,0.7488943488943489
Support Vector Machines,s30,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8533169533169532,0.8643407675523231,0.8533169533169532
Logistic Regression,s30,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8378378378378379,0.8457324732739518,0.8378378378378379
Naive Bayes,s31,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7705159705159705,0.7763076082541517,0.7705159705159705
Support Vector Machines,s31,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8611793611793612,0.8707461906035817,0.8611793611793612
Logistic Regression,s31,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8464373464373462,0.8541844857054945,0.8464373464373462
Naive Bayes,s32,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7938574938574938,0.8001435757348376,0.7938574938574938
Support Vector Machines,s32,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8744471744471743,0.8842433323014529,0.8744471744471743
Logistic Regression,s32,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.849140049140049,0.8597917246282687,0.849140049140049
Naive Bayes,s33,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7938574938574938,0.8015719238965083,0.7938574938574938
Support Vector Machines,s33,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8734643734643734,0.8808409151132908,0.8734643734643734
Logistic Regression,s33,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8484029484029483,0.8585750813882964,0.8484029484029483
Naive Bayes,s34,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7589680589680589,0.7682126514853347,0.7589680589680589
Support Vector Machines,s34,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8601965601965602,0.8698584634863422,0.8601965601965602
Logistic Regression,s34,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8437346437346436,0.8517008527459538,0.8437346437346436
Naive Bayes,s36,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8886977886977888,0.8915904393236518,0.8886977886977888
Support Vector Machines,s36,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9420147420147419,0.9368069012467342,0.9420147420147419
