classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Naive Bayes,s26,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9052307692307691,0.9063008056714207,0.9052307692307691
Support Vector Machines,s26,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9376923076923077,0.9370020534301483,0.9376923076923077
Logistic Regression,s26,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9333846153846153,0.9337040651888261,0.9333846153846153
Naive Bayes,s27,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8895384615384614,0.8909430276818755,0.8895384615384614
Support Vector Machines,s27,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9361538461538462,0.935956780367729,0.9361538461538462
Logistic Regression,s27,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.931076923076923,0.9318060397418042,0.931076923076923
Naive Bayes,s29,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8715384615384615,0.8731565607154156,0.8715384615384615
Support Vector Machines,s29,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9438461538461539,0.9423519923332984,0.9438461538461539
Logistic Regression,s29,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9346153846153846,0.935285803309563,0.9346153846153846
Naive Bayes,s28,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8720000000000001,0.873256669502048,0.8720000000000001
