classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Support Vector Machines,s20,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8295955882352942,0.8453538825872127,0.8295955882352942
Logistic Regression,s20,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8003676470588237,0.8136055571771916,0.8003676470588237
Naive Bayes,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6564338235294118,0.6637069023704314,0.6564338235294118
Support Vector Machines,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8334558823529411,0.8500578293075847,0.8334558823529411
Logistic Regression,s21,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7998161764705882,0.8130404306228763,0.7998161764705882
Naive Bayes,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6500000000000001,0.6576717436765345,0.6500000000000001
Support Vector Machines,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8091911764705882,0.8261404105448031,0.8091911764705882
Logistic Regression,s22,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7968750000000001,0.8085627095728031,0.7968750000000001
Naive Bayes,s23,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7053308823529412,0.702490200564,0.7053308823529412
Support Vector Machines,s23,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8371323529411765,0.8560646286291089,0.8371323529411765
Logistic Regression,s23,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8288602941176471,0.8399695001895411,0.8288602941176471
Naive Bayes,s24,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7402573529411766,0.7406781785488352,0.7402573529411766
Support Vector Machines,s24,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8630514705882353,0.8776427175854483,0.8630514705882353
Logistic Regression,s24,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8669117647058824,0.8781967868405591,0.8669117647058824
Naive Bayes,s25,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7306985294117647,0.731197375003054,0.7306985294117647
Support Vector Machines,s25,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8595588235294118,0.8736180079285638,0.8595588235294118
Logistic Regression,s25,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8634191176470589,0.874413719175845,0.8634191176470589
Naive Bayes,s26,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7323529411764707,0.7331147219640469,0.7323529411764707
Support Vector Machines,s26,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8525735294117647,0.872062696680674,0.8525735294117647
Logistic Regression,s26,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8591911764705882,0.8691198015529913,0.8591911764705882
Naive Bayes,s27,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7086397058823529,0.7086454193461736,0.7086397058823529
Support Vector Machines,s27,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8511029411764707,0.8690799301623366,0.8511029411764707
Logistic Regression,s27,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8428308823529413,0.8521579532409165,0.8428308823529413
Naive Bayes,s28,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6520220588235294,0.6591376594975005,0.6520220588235294
Support Vector Machines,s28,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8297794117647058,0.845279504422306,0.8297794117647058
Logistic Regression,s28,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8007352941176473,0.8138921614997516,0.8007352941176473
Naive Bayes,s29,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6534926470588235,0.6601889100056465,0.6534926470588235
Support Vector Machines,s29,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8338235294117646,0.8501879798703218,0.8338235294117646
Logistic Regression,s29,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8003676470588236,0.8133143608239519,0.8003676470588236
Naive Bayes,s30,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6450367647058823,0.6552739267070373,0.6450367647058823
Support Vector Machines,s30,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8099264705882353,0.8267909139271389,0.8099264705882353
Logistic Regression,s30,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7974264705882353,0.8089535225564413,0.7974264705882353
Naive Bayes,s31,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7073529411764705,0.7032414075925584,0.7073529411764705
Support Vector Machines,s31,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8369485294117647,0.8558435311141386,0.8369485294117647
Logistic Regression,s31,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8288602941176471,0.8402889811294655,0.8288602941176471
Naive Bayes,s32,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7084558823529411,0.7126449248601693,0.7084558823529411
Support Vector Machines,s32,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8784926470588236,0.8928067420337811,0.8784926470588236
Logistic Regression,s32,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.857904411764706,0.8665160558412545,0.857904411764706
Naive Bayes,s33,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7082720588235294,0.7141808363370248,0.7082720588235294
Support Vector Machines,s33,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8761029411764705,0.8899240093019125,0.8761029411764705
Logistic Regression,s33,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8553308823529411,0.8646042923646766,0.8553308823529411
Naive Bayes,s34,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6944852941176471,0.6955724992183979,0.6944852941176471
Support Vector Machines,s34,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8457720588235296,0.8633993171542681,0.8457720588235296
Logistic Regression,s34,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8338235294117646,0.8433512774909546,0.8338235294117646
Naive Bayes,s35,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6540441176470588,0.655953497612891,0.6540441176470588
Support Vector Machines,s35,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7966911764705883,0.8175329986203753,0.7966911764705883
